"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Franklin"," President/Vice President","Donald J. Trump / Michael R. Pence","(Republican Party Nominees)","17849","55.7624","Federal"
"Franklin"," President/Vice President","Jo Jorgensen / Jeremy &quot;Spike&quot; Cohen","(Libertarian Party Nominees)","673","2.1025","Federal"
"Franklin"," President/Vice President","Howie Hawkins / Angela Walker","(Green Party Nominees)","109","0.3405","Federal"
"Franklin"," President/Vice President","Gloria La Riva / Sunil Freeman","(Socialism and Liberation Party Nominees)","32","0.1","Federal"
"Franklin"," President/Vice President","Alyson Kennedy / Malcolm M. Jarrett","(Socialist Workers Party Nominees)","22","0.0687","Federal"
"Franklin"," President/Vice President","WRITE-IN"," ","176","0.5498","Federal"
"Franklin","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","20115","63.7822","Congressional"
"Franklin","Congressional District 4 U.S. Representative","Douglas E. McKinley","(Prefers Democratic Party)","11384","36.0973","Congressional"
"Franklin","Congressional District 4 U.S. Representative","WRITE-IN"," ","38","0.1205","Congressional"
"Franklin","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","12628","39.4637","State Executive"
"Franklin","Washington State Governor","Loren Culp","(Prefers Republican Party)","19276","60.2394","State Executive"
"Franklin","Washington State Governor","WRITE-IN"," ","95","0.2969","State Executive"
"Franklin","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","9861","34.75","State Executive"
"Franklin","Washington State Lt. Governor","Marko Liias","(Prefers Democratic Party)","8322","29.3266","State Executive"
"Franklin","Washington State Lt. Governor","WRITE-IN"," ","10194","35.9235","State Executive"
"Franklin","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","20276","64.8666","State Executive"
"Franklin","Washington State Secretary of State","Gael Tarleton","(Prefers Democratic Party)","10946","35.0182","State Executive"
"Franklin","Washington State Secretary of State","WRITE-IN"," ","36","0.1152","State Executive"
"Franklin","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","11922","38.2594","State Executive"
"Franklin","Washington State State Treasurer","Duane A. Davidson","(Prefers Republican Party)","19216","61.6668","State Executive"
"Franklin","Washington State State Treasurer","WRITE-IN"," ","23","0.0738","State Executive"
"Franklin","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","13085","42.1186","State Executive"
"Franklin","Washington State State Auditor","Chris Leyba","(Prefers Republican Party)","17960","57.8105","State Executive"
"Franklin","Washington State State Auditor","WRITE-IN"," ","22","0.0708","State Executive"
"Franklin","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","12782","40.8749","State Executive"
"Franklin","Washington State Attorney General","Matt Larkin","(Prefers Republican Party)","18459","59.0291","State Executive"
"Franklin","Washington State Attorney General","WRITE-IN"," ","30","0.0959","State Executive"
"Franklin","Washington State Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)","12581","40.6114","State Executive"
"Franklin","Washington State Commissioner of Public Lands","Sue Kuehl Pederson","(Prefers Republican Party)","18379","59.3273","State Executive"
"Franklin","Washington State Commissioner of Public Lands","WRITE-IN"," ","19","0.0613","State Executive"
"Franklin","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","11668","40.2414","State Executive"
"Franklin","Washington State Superintendent of Public Instruction","Maia Espinoza"," ","17249","59.4896","State Executive"
"Franklin","Washington State Superintendent of Public Instruction","WRITE-IN"," ","78","0.269","State Executive"
